classification_id,user_name,user_id,workflow_id,task,created_at,subject_id,extractor,data.no-i-don-t-see-any-dolphin-echolocation-here,data.aggregation_version,data.yes-dolphin-echolocation-is-present,data.no-there-are-no-spectral-bands-present,data.yes-i-see-spectral-bands,data.None,data.i-m-not-sure
627356122,AnneListens,1882787.0,28567,T0,2025-04-01 17:53:57 UTC,107507598,question_extractor,1.0,5.2.0,,,,,
627356122,AnneListens,1882787.0,28567,T1,2025-04-01 17:53:57 UTC,107507598,question_extractor,,5.2.0,,,,,
627356337,AnneListens,1882787.0,28567,T0,2025-04-01 17:54:39 UTC,107507796,question_extractor,,5.2.0,1.0,,,,
627356337,AnneListens,1882787.0,28567,T1,2025-04-01 17:54:39 UTC,107507796,question_extractor,,5.2.0,,1.0,,,
627356411,AnneListens,1882787.0,28567,T0,2025-04-01 17:54:52 UTC,107507799,question_extractor,1.0,5.2.0,,,,,
627356411,AnneListens,1882787.0,28567,T1,2025-04-01 17:54:52 UTC,107507799,question_extractor,,5.2.0,,,,,
627356674,AnneListens,1882787.0,28567,T0,2025-04-01 17:55:43 UTC,107507798,question_extractor,,5.2.0,1.0,,,,
627356674,AnneListens,1882787.0,28567,T1,2025-04-01 17:55:43 UTC,107507798,question_extractor,,5.2.0,,1.0,,,
627356740,AnneListens,1882787.0,28567,T0,2025-04-01 17:55:59 UTC,107507592,question_extractor,1.0,5.2.0,,,,,
627356740,AnneListens,1882787.0,28567,T1,2025-04-01 17:55:59 UTC,107507592,question_extractor,,5.2.0,,,,,
627356800,AnneListens,1882787.0,28567,T0,2025-04-01 17:56:13 UTC,107507800,question_extractor,1.0,5.2.0,,,,,
627356800,AnneListens,1882787.0,28567,T1,2025-04-01 17:56:13 UTC,107507800,question_extractor,,5.2.0,,,,,
627356849,AnneListens,1882787.0,28567,T0,2025-04-01 17:56:24 UTC,107507595,question_extractor,1.0,5.2.0,,,,,
627356849,AnneListens,1882787.0,28567,T1,2025-04-01 17:56:24 UTC,107507595,question_extractor,,5.2.0,,,,,
627368864,AnneListens,1882787.0,28567,T0,2025-04-01 18:35:56 UTC,107507594,question_extractor,1.0,5.2.0,,,,,
627368864,AnneListens,1882787.0,28567,T1,2025-04-01 18:35:56 UTC,107507594,question_extractor,,5.2.0,,,,,
627450189,ejohnston8,2835326.0,28567,T0,2025-04-02 00:18:16 UTC,107507799,question_extractor,1.0,5.2.0,,,,,
627450189,ejohnston8,2835326.0,28567,T1,2025-04-02 00:18:16 UTC,107507799,question_extractor,,5.2.0,,,,,
627450308,ejohnston8,2835326.0,28567,T0,2025-04-02 00:19:15 UTC,107507595,question_extractor,,5.2.0,1.0,,,,
627450308,ejohnston8,2835326.0,28567,T1,2025-04-02 00:19:15 UTC,107507595,question_extractor,,5.2.0,,,1.0,,
627450517,ejohnston8,2835326.0,28567,T0,2025-04-02 00:20:34 UTC,107507800,question_extractor,,5.2.0,1.0,,,,
627450517,ejohnston8,2835326.0,28567,T1,2025-04-02 00:20:34 UTC,107507800,question_extractor,,5.2.0,,,,1.0,
627452024,ejohnston8,2835326.0,28567,T0,2025-04-02 00:25:10 UTC,107507598,question_extractor,,5.2.0,1.0,,,,
627452024,ejohnston8,2835326.0,28567,T1,2025-04-02 00:25:10 UTC,107507598,question_extractor,,5.2.0,,,1.0,,
627452147,ejohnston8,2835326.0,28567,T0,2025-04-02 00:25:28 UTC,107507594,question_extractor,,5.2.0,1.0,,,,
627452147,ejohnston8,2835326.0,28567,T1,2025-04-02 00:25:28 UTC,107507594,question_extractor,,5.2.0,,,1.0,,
627452180,ejohnston8,2835326.0,28567,T0,2025-04-02 00:25:33 UTC,107507795,question_extractor,1.0,5.2.0,,,,,
627452180,ejohnston8,2835326.0,28567,T1,2025-04-02 00:25:33 UTC,107507795,question_extractor,,5.2.0,,,,,
627452219,ejohnston8,2835326.0,28567,T0,2025-04-02 00:25:39 UTC,107507798,question_extractor,,5.2.0,1.0,,,,
627452219,ejohnston8,2835326.0,28567,T1,2025-04-02 00:25:39 UTC,107507798,question_extractor,,5.2.0,,1.0,,,
627454909,ejohnston8,2835326.0,28567,T0,2025-04-02 00:35:46 UTC,107507796,question_extractor,,5.2.0,1.0,,,,
627454909,ejohnston8,2835326.0,28567,T1,2025-04-02 00:35:46 UTC,107507796,question_extractor,,5.2.0,,1.0,,,
627455072,ejohnston8,2835326.0,28567,T0,2025-04-02 00:36:44 UTC,107507596,question_extractor,1.0,5.2.0,,,,,
627455072,ejohnston8,2835326.0,28567,T1,2025-04-02 00:36:44 UTC,107507596,question_extractor,,5.2.0,,,,,
627455420,ejohnston8,2835326.0,28567,T0,2025-04-02 00:38:54 UTC,107507592,question_extractor,1.0,5.2.0,,,,,
627455420,ejohnston8,2835326.0,28567,T1,2025-04-02 00:38:54 UTC,107507592,question_extractor,,5.2.0,,,,,
627455435,ejohnston8,2835326.0,28567,T0,2025-04-02 00:38:59 UTC,107507593,question_extractor,1.0,5.2.0,,,,,
627455435,ejohnston8,2835326.0,28567,T1,2025-04-02 00:38:59 UTC,107507593,question_extractor,,5.2.0,,,,,
627455462,ejohnston8,2835326.0,28567,T0,2025-04-02 00:39:04 UTC,107507597,question_extractor,1.0,5.2.0,,,,,
627455462,ejohnston8,2835326.0,28567,T1,2025-04-02 00:39:04 UTC,107507597,question_extractor,,5.2.0,,,,,
627455552,ejohnston8,2835326.0,28567,T0,2025-04-02 00:39:22 UTC,107507797,question_extractor,,5.2.0,1.0,,,,
627455552,ejohnston8,2835326.0,28567,T1,2025-04-02 00:39:22 UTC,107507797,question_extractor,,5.2.0,,,1.0,,
627455908,ejohnston8,2835326.0,28567,T0,2025-04-02 00:40:43 UTC,107507595,question_extractor,1.0,5.2.0,,,,,
